Index,Company,Category,Indicator,IndicatorNr,IndicatorSuffix,Score,Score_Adjusted
2019,Apple,F,F04c,4,c,NA,NA
2019,Apple,F,F05a,5,a,100,100
2019,Apple,F,F05b,5,b,16.67,16.67
2019,Apple,F,F06,6,NA,46.67,46.67
2019,Apple,F,F07,7,NA,0,0
2019,Apple,F,F08,8,NA,12.5,12.5
2019,Apple,F,F09,9,NA,NA,NA
2019,Apple,F,F10,10,NA,NA,NA
2019,Apple,F,F11,11,NA,50,50
2019,Apple,F,F12,12,NA,NA,NA
2019,Apple,F,F13,13,NA,NA,NA
2019,Apple,P,P01a,1,a,100,100
2019,Apple,P,P01b,1,b,NA,NA
2019,Apple,P,P02a,2,a,11.67,11.67
2019,Apple,P,P02b,2,b,NA,NA
2019,Apple,P,P03a,3,a,28.89,28.89
2019,Apple,P,P03b,3,b,NA,NA
2019,Apple,P,P04,4,NA,44.44,44.44
2019,Apple,P,P05,5,NA,50,50
2019,Apple,P,P06,6,NA,12.38,12.38
2019,Apple,P,P07,7,NA,41.67,41.67
2019,Apple,P,P08,8,NA,46.67,46.67
2019,Apple,P,P09,9,NA,100,100
2019,Apple,P,P10a,10,a,100,100
2019,Apple,P,P10b,10,b,0,0
2019,Apple,P,P11a,11,a,80,80
2019,Apple,P,P11b,11,b,0,0
2019,Apple,P,P12,12,NA,66.67,66.67
2019,Apple,P,P13,13,NA,66.67,66.67
2019,Apple,P,P14,14,NA,27.78,27.78
2019,Apple,P,P15,15,NA,50,50
2019,Apple,P,P16,16,NA,79.17,79.17
2019,Apple,P,P17,17,NA,83.33,83.33
2019,Apple,P,P18,18,NA,100,100
2019,ATT,G,G01,1,NA,100,100
2019,ATT,G,G02,2,NA,100,100
2019,ATT,G,G03,3,NA,87.5,87.5
2019,ATT,G,G04a,4,a,33.33,33.33
2019,ATT,G,G04b,4,b,0,0
2019,ATT,G,G04c,4,c,0,0
2019,ATT,G,G04d,4,d,0,0
2019,ATT,G,G04e,4,e,NA,NA
2019,ATT,G,G05,5,NA,50,50
2019,ATT,G,G06a,6,a,33.33,33.33
2019,ATT,G,G06b,6,b,NA,NA
2019,ATT,F,F01a,1,a,83.33,83.33
2019,ATT,F,F01b,1,b,NA,NA
2019,ATT,F,F01c,1,c,NA,NA
2019,ATT,F,F01d,1,d,NA,NA
2019,ATT,F,F02a,2,a,28.13,28.13
2019,ATT,F,F02b,2,b,NA,NA
2019,ATT,F,F02c,2,c,NA,NA
2019,ATT,F,F02d,2,d,NA,NA
2019,ATT,F,F03a,3,a,71.67,71.67
2019,ATT,F,F03b,3,b,NA,NA
2019,ATT,F,F03c,3,c,NA,NA
2019,ATT,F,F04a,4,a,NA,NA
2019,ATT,F,F04b,4,b,NA,NA
2019,ATT,F,F04c,4,c,NA,NA
2019,ATT,F,F05a,5,a,85.71,85.71
2019,ATT,F,F05b,5,b,30,30
2019,ATT,F,F06,6,NA,20,20
2019,ATT,F,F07,7,NA,0,0
2019,ATT,F,F08,8,NA,33.33,33.33
2019,ATT,F,F09,9,NA,50,50
2019,ATT,F,F10,10,NA,12.5,12.5
2019,ATT,F,F11,11,NA,100,100
2019,ATT,F,F12,12,NA,NA,NA
2019,ATT,F,F13,13,NA,NA,NA
2019,ATT,P,P01a,1,a,100,100
2019,ATT,P,P01b,1,b,NA,NA
2019,ATT,P,P02a,2,a,37.5,37.5
2019,ATT,P,P02b,2,b,NA,NA
2019,ATT,P,P03a,3,a,50,50
2019,ATT,P,P03b,3,b,NA,NA
2019,ATT,P,P04,4,NA,37.5,37.5
2019,ATT,P,P05,5,NA,37.5,37.5
2019,ATT,P,P06,6,NA,10,10
2019,ATT,P,P07,7,NA,25,25
2019,ATT,P,P08,8,NA,68.75,68.75
2019,ATT,P,P09,9,NA,NA,NA
2019,ATT,P,P10a,10,a,100,100
2019,ATT,P,P10b,10,b,0,0
